Analyse_Nom;Sousgroupe;GroupeValidation;Sexe;Agedebut;Agefin;UsuelleBasse;UsuelleHaute;AlarmeBasse;AlarmeHaute;RepassBasse;RepassHaute;Deltapourcent;DeltaAbsolu;DeltaBloquant;Autovalidation;SeuilJours;SeuilRepassage;SeuilRepassage2;SeuilRepassage3;RepassCalc1;RepassCalc2;Fourchette1;Fourchette2;Fourchette3
CANNU;0;GG;;;;0;50;0;50;;;;;1;1;;26.06;26.765;0;49.164;0;[... -49.164];]49.164 - ...];
AMPHU;0;GG;;;;0;300;0;300;;;;;1;1;;15.42;11.662;0;319.147;0;[... -319.147];]319.147 - ...];
COCU;0;GG;;;;0;150;0;150;;;;;1;1;;11.063;14.23;0;150.764;0;[... -150.764];]150.764 - ...];
OPIAU;0;GG;;;;0;300;0;300;;;;;1;1;;14.487;11.08;0;324.157;0;[... -324.157];]324.157 - ...];
DEPA;0;GG;;;;40;100;30;150;;;;;1;1;;15.803;9.87;9.797;39.79;66.148;[... - 39.79];]39.79 - 66.148];]66.148 - ...]
B2MICRO;0;GG;;;;.8;2.2;.5;3;.5;7;30;10;1;1;200;11.6;7.666;10.399;1.132;1.441;[... - 1.132];]1.132 - 1.441];]1.441 - ...]
CARB;0;GG;;;;4;12;4;12;;;;;1;1;;4.01;6.112;7.462;7.506;11.597;[... - 7.506];]7.506 - 11.597];]11.597 - ...]
RF;0;GG;;;;0;14;0;14;;;;;1;1;;8.224;5.97;3.584;13.664;26.116;[... - 13.664];]13.664 - 26.116];]26.116 - ...]
CREAT+;0;DI;;;;59;104;50;120;;;;;1;1;;4.824;4.92;2.456;106.988;360.072;[... - 106.988];]106.988 - 360.072];]360.072 - ...]
CRAP;1;GG;2;;;44;80;20;120;;;;;1;1;;14.9;;;;;[... - ...];;
CRAV;1;GG;;;;62;106;50;300;;;;;1;1;;14.9;;;;;[... - ...];;
CRAV;2;GG;2;;;44;80;20;120;;;;;1;1;;14.9;;;;;[... - ...];;
GENTPIC;0;GG;;;;30;40;30;40;;;;;1;1;;10.6;;;;;[... - ...];;
GENTVAL;0;GG;;;;0;.5;0;.5;;;;;1;1;;10.6;;;;;[... - ...];;
PHENO;0;GG;;;;10;40;10;40;;;;;1;1;;10.17;7.84;8.873;21.124;36.321;[... - 21.124];]21.124 - 36.321];]36.321 - ...]
ACTPO;0;GG;;;;0;34;0;34;;;;;1;1;;22.5;21.33;;49.99;;[... -49.99];]49.99 - ...];
ACTG;0;GG;;;;0;115;0;115;;;;;1;1;;12.314;9.044;9.122;68.437;111.985;[... - 68.437];]68.437 - 111.985];]111.985 - ...]
HCG;0;GG;2;;;0;5.3;0;5.3;;;;;1;1;;10.195;8.742;9.741;15.702;268.777;[... - 15.702];]15.702 - 268.777];]268.777 - ...]
CA199;0;GG;;;;0;27;0;27;;;;;1;1;;16.584;6.812;5.443;22.482;67.309;[... - 22.482];]22.482 - 67.309];]67.309 - ...]
CA125;0;GG;;;;0;35;0;35;;;;;1;1;;7.221;6.518;7.258;23.626;60.134;[... - 23.626];]23.626 - 60.134];]60.134 - ...]
CA153;0;GG;;;;0;26.2;0;27;;;;;1;1;;10.567;6.003;8.66;25.177;64.176;[... - 25.177];]25.177 - 64.176];]64.176 - ...]
CORT8h;0;GG;;;;6;18.4;6;18.4;;;;;1;1;;10.3;;;;;[... - ...];;
