Analyse_Nom;Sousgroupe;GroupeValidation;Sexe;Agedebut;Agefin;UsuelleBasse;UsuelleHaute;AlarmeBasse;AlarmeHaute;RepassBasse;RepassHaute;Deltapourcent;DeltaAbsolu;DeltaBloquant;Autovalidation;SeuilJours;SeuilRepassage;SeuilRepassage2;SeuilRepassage3;RepassCalc1;RepassCalc2;Fourchette1;Fourchette2;Fourchette3
K;0;GG;;;;3.4;4.5;3.3;4.6;3;5;15;.5;1;1;2;2.951;5.023;2.285;3.318;5.755;[... - 3.318];]3.318 - 5.755];]5.755 - ...]
CL;0;GG;;;;98;107;95;110;80;115;10;10;1;1;5;2.43;4.18;1.613;88.996;104.103;[... - 88.996];]88.996 - 104.103];]104.103 - ...]
GLAJ;0;GG;;;;3.9;5.6;3.8;5.8;3.5;10;30;3;1;1;10;8.3;;;;;[... - ...];;
UREE;0;GG;;;;2.8;8.1;2.5;8.5;2;20;30;4;1;1;30;5.02;5.331;3.956;8.221;17.696;[... - 8.221];]8.221 - 17.696];]17.696 - ...]
CREAT;0;GG;;;;62;106;50;120;20;400;50;100;1;1;30;14.9;;;;;[... - ...];;
PROT;0;GG;;;;64;83;60;85;55;90;10;8;1;1;2;2.565;4.749;2.372;53.561;71.19;[... - 53.561];]53.561 - 71.19];]71.19 - ...]
PROT;1;GG;;0;7;46;70;45;72;40;76;10;8;1;1;2;2.565;4.749;2.372;53.561;71.19;[... - 53.561];]53.561 - 71.19];]71.19 - ...]
PROT;2;GG;;8;700;44;76;42;78;40;80;10;8;1;1;2;2.565;4.749;2.372;53.561;71.19;[... - 53.561];]53.561 - 71.19];]71.19 - ...]
AU;0;GG;;;;200;420;150;450;100;500;50;100;1;1;30;3.55;4.536;3.175;244.315;417.088;[... - 244.315];]244.315 - 417.088];]417.088 - ...]
AU;1;GG;2;;;140;360;100;400;100;500;50;100;1;1;30;3.55;4.536;3.175;244.315;417.088;[... - 244.315];]244.315 - 417.088];]417.088 - ...]
CA;0;GG;;;;2.15;2.5;2.1;2.6;2;2.8;10;.2;1;1;2;3.604;5.236;2.117;2.005;2.88;[... - 2.005];]2.005 - 2.88];]2.88 - ...]
PHOS;0;GG;;;;.81;1.45;.8;1.6;.4;2.5;30;.4;1;1;30;6.521;5.877;5.228;1.022;1.906;[... - 1.022];]1.022 - 1.906];]1.906 - ...]
PHOS;1;GG;;1;30;1.45;2.16;1.4;2.2;.4;3;30;.4;1;1;30;6.521;5.877;5.228;1.022;1.906;[... - 1.022];]1.022 - 1.906];]1.906 - ...]
PHOS;2;GG;;20001;120000;1.45;1.78;1.4;1.9;.4;2.5;30;.4;1;1;30;6.521;5.877;5.228;1.022;1.906;[... - 1.022];]1.022 - 1.906];]1.906 - ...]
MG;0;GG;;;;.66;1;.6;1.2;.5;1.9;30;.5;1;1;15;5.975;5.046;4.432;.624;1.189;[... - .624];].624 - 1.189];]1.189 - ...]
FER;0;GG;;;;11;28;10;30;5;40;40;5;1;1;30;2.772;4.813;2.646;20.974;29.905;[... - 20.974];]20.974 - 29.905];]29.905 - ...]
FER;1;GG;2;;;6.6;26;6;30;5;40;40;5;1;1;30;2.772;4.813;2.646;20.974;29.905;[... - 20.974];]20.974 - 29.905];]29.905 - ...]
BILT;0;GG;;;;0;21;0;100;0;190;40;20;1;1;7;7.711;5.667;5.732;24.916;58.794;[... - 24.916];]24.916 - 58.794];]58.794 - ...]
BILT;1;GG;;0;1;0;150;0;160;0;190;40;20;1;1;2;7.711;5.667;5.732;24.916;58.794;[... - 24.916];]24.916 - 58.794];]58.794 - ...]
BILT;2;GG;;2;3;0;193;0;195;0;200;40;20;1;1;2;7.711;5.667;5.732;24.916;58.794;[... - 24.916];]24.916 - 58.794];]58.794 - ...]
BILD;0;GG;;;;0;5;0;50;0;300;40;10;1;1;15;9.954;8.072;5.69;13.721;31.484;[... - 13.721];]13.721 - 31.484];]31.484 - ...]
CHOL;0;GG;;;;.5;5.2;.4;5.5;.4;7;20;1.5;1;1;90;6.325;4.57;5.76;3.396;5.165;[... - 3.396];]3.396 - 5.165];]5.165 - ...]
TRIGL;0;GG;;;;.4;1.7;.3;2;.2;5;50;.5;1;1;90;5.183;5.079;4.127;1.142;2.144;[... - 1.142];]1.142 - 2.144];]2.144 - ...]
HDL;0;GG;;;;.9;1.45;.5;2;.2;4;40;.5;1;1;90;3.256;3.685;2.106;.873;1.183;[... - .873];].873 - 1.183];]1.183 - ...]
HDL;1;GG;2;;;1.15;1.68;.8;2;.2;4;40;.5;1;1;90;3.256;3.685;2.106;.873;1.183;[... - .873];].873 - 1.183];]1.183 - ...]
LACT;0;GG;;;;.5;2.2;.5;2.2;.3;5;40;1;1;1;7;3.923;5.278;2.019;1.303;4.068;[... - 1.303];]1.303 - 4.068];]4.068 - ...]
PAL;0;GG;;;;40;130;35;150;20;300;50;40;1;1;15;5.908;11.418;8.014;115.075;249.608;[... - 115.075];]115.075 - 249.608];]249.608 - ...]
PAL;1;GG;2;;;35;105;30;115;20;300;50;40;1;1;15;5.908;11.418;8.014;115.075;249.608;[... - 115.075];]115.075 - 249.608];]249.608 - ...]
GGT;0;GG;;;;10;61;10;70;5;300;50;50;1;1;30;7.731;5.519;5.222;40.304;93.663;[... - 40.304];]40.304 - 93.663];]93.663 - ...]
GGT;1;GG;2;;;5;36;5;50;5;300;50;50;1;1;30;7.731;5.519;5.222;40.304;93.663;[... - 40.304];]40.304 - 93.663];]93.663 - ...]
GOT;0;GG;;;;10;50;5;60;5;100;50;30;1;1;15;3.335;4.892;2.598;72.162;163.67;[... - 72.162];]72.162 - 163.67];]163.67 - ...]
GPT;0;GG;;;;10;50;5;70;5;100;50;30;1;1;15;4.189;4.382;2.106;60.36;144.967;[... - 60.36];]60.36 - 144.967];]144.967 - ...]
CK;0;GG;;;;25;195;20;200;10;400;50;100;1;1;10;4.911;5.407;1.856;155.366;330.513;[... - 155.366];]155.366 - 330.513];]330.513 - ...]
CK;1;GG;2;;;25;160;20;180;10;400;50;100;1;1;10;4.911;5.407;1.856;155.366;330.513;[... - 155.366];]155.366 - 330.513];]330.513 - ...]
KU;0;GG;;;;12;60;2;100;;;50;50;1;1;7;5.832;5.44;0;70.465;0;[... -70.465];]70.465 - ...];
AMYL;0;GG;;;;28;100;20;150;10;300;30;25;1;1;7;0;;;;;;;
GLUU;0;GG;;;;0;.1;0;50;;;;;1;1;;5.382;4.992;0;9.064;0;[... -9.064];]9.064 - ...];
PTUR;0;GG;;;;0;.15;0;.2;0;1;30;.5;1;1;30;7.804;4.463;0;.307;0;[... -.307];].307 - ...];
UREEU;0;GG;;;;285;595;100;1000;;;50;100;1;1;30;6.569;9.99;0;223.76;0;[... -223.76];]223.76 - ...];
CREAU;0;GG;;;;3.5;22.9;1;30;;;80;5;1;1;5;0;;;;;;;
AUU;0;GG;;;;2.2;5.48;1.5;6;1;8;;;1;1;;5.466;7.846;0;424.834;0;[... -424.834];]424.834 - ...];
PHOSU;0;GG;;;;13;44;10;70;;;50;20;1;1;30;6.373;7.311;0;11.18;0;[... -11.18];]11.18 - ...];
MICRO;0;GG;;;;0;20;0;30;0;50;;;1;1;;7.263;38.912;0;46.657;0;[... -46.657];]46.657 - ...];
CRP;0;GG;;;;0;5;0;30;0;300;50;50;1;1;7;4.192;7.322;3.724;6.711;20.284;[... - 6.711];]6.711 - 20.284];]20.284 - ...]
C4;0;GG;;;;.1;.4;.1;.8;.1;1;;;1;1;;6.622;4.847;4.931;.193;.255;[... - .193];].193 - .255];].255 - ...]
IGA;0;GG;;;;.7;4;.6;4.5;.5;5;30;.5;1;1;30;6.625;4.886;4.696;1.837;2.439;[... - 1.837];]1.837 - 2.439];]2.439 - ...]
IGA;1;GG;;0;10000;0;.14;0;.4;0;.7;30;.5;1;1;30;6.625;4.886;4.696;1.837;2.439;[... - 1.837];]1.837 - 2.439];]2.439 - ...]
IGA;4;GG;;60001;140000;.34;2.2;.25;2.5;.15;2.8;30;.5;1;1;30;6.625;4.886;4.696;1.837;2.439;[... - 1.837];]1.837 - 2.439];]2.439 - ...]
IGG;0;GG;;;;7;16;6;18;5;20;30;3;1;1;30;3.181;4.399;4.043;8.623;11.451;[... - 8.623];]8.623 - 11.451];]11.451 - ...]
IGG;1;GG;;0;10000;2.32;14.11;2.3;15;2;16;30;3;1;1;30;3.181;4.399;4.043;8.623;11.451;[... - 8.623];]8.623 - 11.451];]11.451 - ...]
IGG;4;GG;;10001;30000;4.5;9.5;4.4;10;4;12;30;3;1;1;30;3.181;4.399;4.043;8.623;11.451;[... - 8.623];]8.623 - 11.451];]11.451 - ...]
IGM;0;GG;;;;.4;2.3;.3;2.5;.2;3;30;.5;1;1;30;13.359;6.964;9.576;.715;.973;[... - .715];].715 - .973];].973 - ...]
HAPTO;0;GG;;;;.3;2;.25;2.5;.2;3;30;.5;1;1;15;3.724;6.502;3.259;.847;1.141;[... - .847];].847 - 1.141];]1.141 - ...]
PREALB;0;GG;;;;.2;.4;.1;.5;.1;.8;;;1;1;;3.73;3.948;3.657;.197;.263;[... - .197];].197 - .263];].263 - ...]
AMIVAL;0;GG;;;;0;2.5;0;2.5;0;5;14;6;1;1;7;16.335;6.793;5.608;8.735;21.724;[... - 8.735];]8.735 - 21.724];]21.724 - ...]
GL;0;GG;;;;4.1;5.9;4;6;3;20;30;2;1;1;10;3.506;4.757;3.763;4.918;12.138;[... - 4.918];]4.918 - 12.138];]12.138 - ...]
GLPP;0;GG;;;;3.9;7.8;3.8;8;3.5;15;;;1;1;;8.3;;;;;[... - ...];;
GLYP;0;GG;;;;3.9;5.8;3;15;;;;;1;1;;8.3;;;;;[... - ...];;
TRICYC;0;GG;;;;0;200;0;200;;;;;0;0;;11.732;14.143;0;297.432;0;[... -297.432];]297.432 - ...];
LIPASE;0;GG;;;;13;60;10;70;8;200;30;60;1;1;15;6.731;8.571;6.264;47.114;164.386;[... - 47.114];]47.114 - 164.386];]164.386 - ...]
CHOLLQ;0;GG;;;;1;9;1;15;;;;;1;1;;;;;;;;;
GLLCR;0;GG;;;;3;5;2.5;5.5;2;8;;;1;1;;5.578;3.634;;2.615;;[... -2.615];]2.615 - ...];
GLLQ;0;GG;;;;3;5;2;7;2;8;;;1;1;;;;;;;;;
TGLQ;0;GG;;;;;;;;;;;;1;1;;;;;;;;;
TRANSF;0;GG;;;;1.95;3.12;1.5;3.3;1;5;30;.4;1;1;30;2.584;5.046;3.147;2.104;2.827;[... - 2.104];]2.104 - 2.827];]2.827 - ...]
ALCOOL;0;GG;;;;0;.1;0;.5;;;;;1;1;;5.508;10.73;6.334;.607;1.319;[... - .607];].607 - 1.319];]1.319 - ...]
CAU;0;GG;;;;0;10;0;10;;;;;1;1;;3.836;3.346;0;2.366;0;[... -2.366];]2.366 - ...];
CA;1;GG;;0;10;1.9;2.6;1.9;2.7;1.8;2.8;10;.2;1;1;2;3.604;5.236;2.117;2.005;2.88;[... - 2.005];]2.005 - 2.88];]2.88 - ...]
C3;0;GG;;;;.9;1.8;.8;2;.5;2.5;;;1;1;;6.513;5.916;4.757;1.204;1.661;[... - 1.204];]1.204 - 1.661];]1.661 - ...]
CLU;0;GG;;;;55;125;10;400;;;30;150;1;1;5;4.536;3.71;0;128.205;0;[... -128.205];]128.205 - ...];
GL;1;GG;;0;1;2.2;3.3;2.1;4;2;12;30;2;1;1;10;3.506;4.757;3.763;4.918;12.138;[... - 4.918];]4.918 - 12.138];]12.138 - ...]
GL;2;GG;;1;8;2.8;4.4;2.6;4.6;2;12;30;2;1;1;10;3.506;4.757;3.763;4.918;12.138;[... - 4.918];]4.918 - 12.138];]12.138 - ...]
AMYLU;0;GG;;;;20;400;10;600;5;800;30;150;1;1;15;0;;;;;;;
AMYLQ;0;GG;;;;;;20;500;20;500;30;150;1;1;15;0;;;;;;;
NAU;0;GG;;;;20;110;5;200;;;30;100;1;1;3;4.78;2.584;0;182.588;0;[... -182.588];]182.588 - ...];
PROTS;0;GG;;;;64;83;55;85;;;10;8;1;1;2;6.5;;;;;[... - ...];;
PRTLCR;0;GG;;;;.1;.45;.1;.5;.1;1;;;1;1;;3.525;4.508;0;.708;0;[... -.708];].708 - ...];
PROTLQ;0;GG;;;;3;30;3;55;;;;;1;1;;0;;;;;;;
LI;0;GG;;;;.6;1.2;.4;1.3;.1;1.5;30;.5;1;1;60;6.734;3.895;4.631;.896;1.633;[... - .896];].896 - 1.633];]1.633 - ...]
LDL;0;GG;;;;1;4;1;4.5;;;20;1.5;1;1;90;0;;;;;;;
LACLCR;0;GG;;;;1.01;2.09;.5;3;.5;4;;;1;1;;6.364;5.981;0;2.681;0;[... -2.681];]2.681 - ...];
CO2;0;GG;;;;22;29;20;30;18;38;10;4;1;1;2;20.992;14.428;12.27;19.129;27.653;[... - 19.129];]19.129 - 27.653];]27.653 - ...]
NA;0;GG;;;;136;145;134;146;125;150;3;4;1;1;2;2.344;4.824;2.17;132.066;152.142;[... - 132.066];]132.066 - 152.142];]152.142 - ...]
MDRD;0;GG;;;;70;140;;;;;;;1;1;;;;;;;;;
AMIPIC;1;GG;;;;60;80;60;80;40;90;14;6;1;1;7;8.6;;;;;[... - ...];;
BENZO;0;GG;;;;0;200;0;200;;;;;1;1;;18.222;19.499;0;277.22;0;[... -277.22];]277.22 - ...];
ACETA;0;GG;;;;0;30;0;30;0;100;;;1;1;;5.793;9.89;21.014;46.902;180.259;[... - 46.902];]46.902 - 180.259];]180.259 - ...]
METHAD;0;GG;;;;0;300;0;300;;;;;1;1;;9.677;12.334;0;310.024;0;[... -310.024];]310.024 - ...];
NA;0;DI;;;;136;145;134;146;;;;;1;1;;2.344;4.824;2.17;132.066;152.142;[... - 132.066];]132.066 - 152.142];]152.142 - ...]
K;0;DI;;;;3.4;4.5;3.3;4.6;;;;;1;1;;2.951;5.023;2.285;3.318;5.755;[... - 3.318];]3.318 - 5.755];]5.755 - ...]
CL;0;DI;;;;98;107;95;110;;;10;10;1;1;5;2.43;4.18;1.613;88.996;104.103;[... - 88.996];]88.996 - 104.103];]104.103 - ...]
CO2;0;DI;;;;22;29;20;30;;;;;1;1;;20.992;14.428;12.27;19.129;27.653;[... - 19.129];]19.129 - 27.653];]27.653 - ...]
GLAJ;0;DI;;;;3.9;5.6;3.9;5.8;;;;;1;1;;8.3;;;;;[... - ...];;
UREE;0;DI;;;;2.8;8.1;2.5;8.5;;;;;1;1;;5.02;5.331;3.956;8.221;17.696;[... - 8.221];]8.221 - 17.696];]17.696 - ...]
CRAP;0;GG;;;;62;106;50;120;;;;;1;1;;14.9;;;;;[... - ...];;
PROT;0;DI;;;;64;83;60;85;;;;;1;1;;2.565;4.749;2.372;53.561;71.19;[... - 53.561];]53.561 - 71.19];]71.19 - ...]
AU;0;DI;;;;200;420;150;450;;;;;1;1;;3.55;4.536;3.175;244.315;417.088;[... - 244.315];]244.315 - 417.088];]417.088 - ...]
AU;1;DI;2;;;140;360;100;400;;;;;1;1;;3.55;4.536;3.175;244.315;417.088;[... - 244.315];]244.315 - 417.088];]417.088 - ...]
CA;0;DI;;;;2.15;2.5;2.1;2.6;;;;;1;1;;3.604;5.236;2.117;2.005;2.88;[... - 2.005];]2.005 - 2.88];]2.88 - ...]
PHOS;0;DI;;;;.81;1.45;.8;1.6;;;;;1;1;;6.521;5.877;5.228;1.022;1.906;[... - 1.022];]1.022 - 1.906];]1.906 - ...]
MG;0;DI;;;;.66;1;.6;1.2;;;;;1;1;;5.975;5.046;4.432;.624;1.189;[... - .624];].624 - 1.189];]1.189 - ...]
NAU;0;DI;;;;10;200;10;200;;;;;1;1;;4.78;2.584;0;182.588;0;[... -182.588];]182.588 - ...];
KU;0;DI;;;;12;60;2;100;;;;;1;1;;5.832;5.44;0;70.465;0;[... -70.465];]70.465 - ...];
CLU;0;DI;;;;55;125;10;400;;;;;1;1;;4.536;3.71;0;128.205;0;[... -128.205];]128.205 - ...];
PTUR;0;DI;;;;0;.3;0;.3;;;;;1;1;;7.804;4.463;0;.307;0;[... -.307];].307 - ...];
UREEU;0;DI;;;;330;580;330;580;;;;;1;1;;6.569;9.99;0;223.76;0;[... -223.76];]223.76 - ...];
CREAU;0;DI;;;;3.5;22.9;1;30;;;;;1;1;;0;;;;;;;
AUU;0;DI;;;;1.2;4.7;1;5;;;;;1;1;;5.466;7.846;0;424.834;0;[... -424.834];]424.834 - ...];
CAU;0;DI;;;;0;10;0;10;;;;;1;1;;3.836;3.346;0;2.366;0;[... -2.366];]2.366 - ...];
PHOSU;0;DI;;;;13;44;10;70;;;;;1;1;;6.373;7.311;0;11.18;0;[... -11.18];]11.18 - ...];
ALBS;1;GG;;5;140000;38;54;35;58;20;60;;;1;1;;3.296;5.303;3.531;33.176;44.857;[... - 33.176];]33.176 - 44.857];]44.857 - ...]
ALBS;3;GG;;140001;180000;32;45;30;50;25;55;;;1;1;;3.296;5.303;3.531;33.176;44.857;[... - 33.176];]33.176 - 44.857];]44.857 - ...]
GL;0;DI;;;;4.1;5.9;4;6;;;;;1;1;;3.506;4.757;3.763;4.918;12.138;[... - 4.918];]4.918 - 12.138];]12.138 - ...]
ACE;0;GG;;;;0;4.7;0;5;;;;;1;1;;11.528;5.278;5.494;8.577;26.995;[... - 8.577];]8.577 - 26.995];]26.995 - ...]
ACHBS1;0;GG;;;;0;10;0;10;;;;;1;1;;0;0;0;47.214;0;;;
AFP;0;GG;;;;0;7;0;7;;;;;1;1;;9.078;4.964;6.899;45.118;139.021;[... - 45.118];]45.118 - 139.021];]139.021 - ...]
NTproBNP;0;GG;;;;0;125;0;130;;;;;1;1;;6.672;7.532;5.793;304.759;1.875.275;[... - 304.759];]304.759 - 1875.275];]1875.275 - ...]
PSAL;0;GG;;0;0;;;;;;;;;1;1;;5.939;5.443;5.043;1.291;5.594;[... - 1.291];]1.291 - 5.594];]5.594 - ...]
PSA;0;GG;;;;.1;4;.1;4;;;;;1;1;;4.542;6.395;4.738;2.675;11.157;[... - 2.675];]2.675 - 11.157];]11.157 - ...]
T4L;0;GG;;;;11.9;21.6;11;26;;;;;1;1;;7.781;6.644;4.948;17.68;34.483;[... - 17.68];]17.68 - 34.483];]34.483 - ...]
indTOXM;0;GG;;;;0;.8;0;.8;;;;;1;1;;20.818;9.027;0;1.123;0;[... -1.123];]1.123 - ...];
TSH;0;GG;;;;.27;4.2;.27;4.2;.25;10;80;5;1;1;365;5.838;6.115;4.665;2.109;11.982;[... - 2.109];]2.109 - 11.982];]11.982 - ...]
PRL;0;GG;;;;86;324;86;324;;;;;1;1;;15.56;6.882;16.254;249.008;783.185;[... - 249.008];]249.008 - 783.185];]783.185 - ...]
PRL;2;GG;2;;;102;496;102;496;;;;;1;1;;15.56;6.882;16.254;249.008;783.185;[... - 249.008];]249.008 - 783.185];]783.185 - ...]
RUBG1;0;GG;;;;0;10;0;10;;;;;1;1;;22.781;15.095;0;36.123;0;[... -36.123];]36.123 - ...];
VANPIC;0;GG;;;;20;40;20;40;;;;;1;1;;11.4;;;;;[... - ...];;
VANCOP;0;GG;;;;25;40;25;40;;;;;1;1;;11.4;;;;;[... - ...];;
THEO;0;GG;;60000;100000;6;11;6;11;;;;;1;1;;14.339;12.586;10.262;10.231;20.079;[... - 10.231];]10.231 - 20.079];]20.079 - ...]
PTH;0;GG;;;;15;57;15;57;;;;;1;1;;7.532;13.362;7.944;79.645;408.995;[... - 79.645];]79.645 - 408.995];]408.995 - ...]
VITD;0;GG;;;;30;80;30;80;;;;;1;1;;25.472;19.975;9.442;16.838;36.457;[... - 16.838];]16.838 - 36.457];]36.457 - ...]
CA;2;GG;;11;20000;2.25;2.75;2.2;2.8;2;3;10;.2;1;1;2;3.604;5.236;2.117;2.005;2.88;[... - 2.005];]2.005 - 2.88];]2.88 - ...]
CA;3;GG;;20001;120000;2.2;2.7;2.15;2.8;2;3;10;.2;1;1;2;3.604;5.236;2.117;2.005;2.88;[... - 2.005];]2.005 - 2.88];]2.88 - ...]
CA;4;GG;;120001;180000;2.1;2.55;2;2.6;1.9;2.8;10;.2;1;1;2;3.604;5.236;2.117;2.005;2.88;[... - 2.005];]2.005 - 2.88];]2.88 - ...]
CA;5;GG;;600000;900000;2.2;2.55;2.1;2.6;1.9;3;10;.2;1;1;2;3.604;5.236;2.117;2.005;2.88;[... - 2.005];]2.005 - 2.88];]2.88 - ...]
CA;6;GG;;900001;1500000;2.05;2.4;2;2.5;1.9;2.8;10;.2;1;1;2;3.604;5.236;2.117;2.005;2.88;[... - 2.005];]2.005 - 2.88];]2.88 - ...]
CREAT;1;GG;2;;;44;80;20;120;20;400;50;100;1;1;30;14.9;;;;;[... - ...];;
CREAT+;2;GG;;0;200;27;77;20;80;15;100;50;50;1;1;30;4.824;4.92;2.456;106.988;360.072;[... - 106.988];]106.988 - 360.072];]360.072 - ...]
